country,laws,web_alexa,news_alexa,removal_google,freedom_net,freedom_press,infocomm_imp,patent_application,patent_app_capita,broadband_speed,mobile_speed,ecommerce,ecommerce_capita,int_agreement,state_attack,attack_objective,attack_surveillance,attack_manipulation,attack_intelligence,attack_commercial,attack_disruption,tech_firm,tech_export,human_capital,cybermil_people,cyber_firm,computer_infection,mobile_infection,socials_use,internet_use,surveillance_firm,shodan,military_strategy,cyber_command,CERTS,ITU,GDP_expentiture,GDP_output,pop,GDPexp_capita,score_surveillance,score_defense,score_manipulation,score_intelligence,score_commercial,score_disruption,score_cybernorms,score_objective
Australia,2,0,0,101,72,0.87,0.827,2757,112.758146570877,2.2,7.66,2279,93.2084933025128,35,1,1,0,0,1,0,0,1,17,68.9,125,0,0.11,0.05,0.72,0.87,6,10.099,5,0,5,0.89,1177097.5,1158776.25,24.4505615234375,48141.9413976106,51.8948230466541,52.1518001728487,50.1276581781078,48.3078582938461,48.6517737549246,47.2808450893155,54.6050943987121,50.4314075620584
Brazil,2,0,0,993,64,0.65,1.289,4980,23.7949296426918,2.703,2.899,15717,75.0973713241339,9,0,0,0,0,0,0,0,0,13,59.73,7,0,0.22,0.08,0.66,0.67,3,11.567,3,5,5,0.577,2952830.75,2890897.5,209.288284301758,14108.9156512102,48.3758613450929,48.3385965869319,47.6308310744038,45.571765406007,46.6588548227214,49.8611213983003,48.4712201517419,47.844035826457
Canada,2,1,0,224,87,0.87,1.254,4349,118.746624609122,6.133,8.76,27731,757.176971035998,9,0,1,0,0,1,0,0,2,16,69.3,20,5,0.1,0.04,0.67,0.91,14,17.618,3,3,5,0.892,1629507.5,1571421.125,36.6241989135742,44492.6455277646,53.0218237567572,53.9114321328821,50.1946300742426,48.8622747437773,50.6052959903378,48.2814862232847,49.3987090715466,50.6108074275469
China,4,0,21,340,10,,7.077,1393815,988.859693800005,5.676,8.782,1001974,710.863136668472,15,19,5,19,4,99,33,1,3,31,60,10000,0,0.1,0.05,0.71,0.54,15,24.995,3,3,5,0.828,18396068,18383838,1409.51745605469,13051.3232886747,56.9424271238799,53.9469336934886,57.687988103337,60.681085433757,55.3410723943572,55.7413141297041,52.5275283789916,56.1240498939308
Egypt,2,0,0,0,26,0.57,1,997,10.2200693591602,1.567,1.929,5778,59.2292485027357,4,1,0,0,0,0,0,0,0,1,55.99,15,0,0.2,0.19,0.41,0.47,7,26.199,0,0,5,0.842,995959.6875,1092824.125,97.5531539916992,10209.4053010807,40.9246227229179,46.9503400320465,41.8832132916471,43.6302832667622,45.2643454611279,40.3310013911547,45.9711352184455,43.5649916263002
Estonia,1,0,0,11,94,0.71,0.148,24,18.3257594741812,3.209,5.208,388,296.266444832595,21,0,0,0,0,0,0,0,0,17,73.13,5000,0,0.13,0.02,0.69,0.89,1,10.423,3,3,5,0.905,40616.2421875,33971.1015625,1.3096319437027,31013.4785447173,51.3099306580189,51.214055206727,49.907227589626,50.4974944549051,49.6494174670237,50.7854390006585,50.3681990122273,50.5331090555981
France,4,1,0,1157,76,0.81,5.654,14303,212.758839933124,6.917,5.153,47085,700.395020502771,24,0,0,0,0,0,0,0,3,26,69.6,2600,0,0.15,0.04,0.58,0.8,46,23.964,5,5,5,0.918,2754603.25,2652826.25,67.2263488769531,40975.0536213391,54.7505497992134,52.2930565624852,48.2585829104905,53.0345883976746,49.6689992615942,54.8025848346959,54.5072258307263,52.4736553709829
Germany,3,1,0,527,80,0.86,10.29,46617,567.709172158074,4.802,4.467,82155,1000.49653642762,15,0,0,0,0,0,0,0,2,16,70,14000,1,0.09,0.04,0.46,0.84,43,17.668,5,3,5,0.849,4035178.5,3905024,82.1142272949219,49141.0396581732,52.2054538388836,50.1316480107798,46.8505997081182,56.04614835075,48.3732235697258,56.7390802862381,46.1667217664881,50.9304107901405
India,1,8,2,2201,55,0.73,1.978,16289,12.1634118355264,1.824,1.215,40845,30.5000034638146,32,0,1,0,0,1,0,0,5,9,58.7,1887,0,0.12,0.29,0.23,0.34,10,11.81,0,3,5,0.719,8412113,8599774,1339.18017578125,6281.53937172237,37.695975849394,48.0409386462505,41.7441195476763,47.0786115520937,47.8239644672068,45.4031608785666,51.2583420681359,45.5778732870462
Iran,1,1,0,0,15,0.44,0.129,11908,146.717482679585,0.512,2.72,3273,40.3263621775514,9,14,4,0,2,25,6,9,0,1,47.5,25,0,0.07,0.53,0.5,0.64,11,25.459,0,5,3,0.641,1297464.25,1295735,81.1627883911133,15985.9496663383,41.9387385634324,41.8902182497333,47.2629327376309,44.1613177060342,45.9261428696988,50.4568658861817,45.7583041102431,45.3420743032792
